Record_ID,Year,Month,Day,Decimal_latitude,Decimal_longitude,Country,Study_area,Location,Depth,Replicate,Data provider,Project,Coris_julis,Epinephelus_marginatus,Fistularia_commersonii,Serranus_cabrilla,Sparisoma_cretense,Siganus_luridus,Siganus_rivulatus,Sarpa_salpa,Serranus_scriba,Thalassoma_pavo,Pterois_miles,Stephanolopis_diaspros,Parupeneus_forskali,Pempheris_rhomboidea,Torquigener_flavimaculosus
13,2009,9,18,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,5,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,5,0,0,0,0,0,0,0,4,4,0,0,0,0,0
14,2009,9,18,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,6,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,5,0,0,0,0,0,0,40,2,2,0,0,0,0,0
15,2009,9,18,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,7,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,4,0,0,0,0,0,0,1,6,10,0,0,0,0,0
16,2009,9,18,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,8,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,8,0,0,0,0,0,0,0,11,17,0,0,0,0,0
17,2009,9,18,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,1,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,6,0,0,0,0,0,0,29,2,5,0,0,0,0,0
18,2009,9,18,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,2,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,3,0,0,0,0,0,0,25,3,16,0,0,0,0,0
19,2009,9,18,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,3,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,10,0,0,0,0,0,0,0,1,6,0,0,0,0,0
20,2009,9,18,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,4,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,8,0,0,0,0,0,0,0,1,17,0,0,0,0,0
21,2009,9,18,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,5,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,9,0,0,1,0,0,0,0,2,6,0,0,0,0,0
22,2009,9,18,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,6,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,10,0,0,0,0,0,0,0,2,3,0,0,0,0,0
23,2009,9,18,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,7,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,16,0,0,0,0,0,0,6,0,3,0,0,0,0,0
24,2009,9,18,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,8,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,5,0,0,0,0,0,0,0,1,4,0,0,0,0,0
25,2009,9,NA,35.86413,12.882499,IT,Linosa,Faraglioni di Linosa,1_3,1,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,1,0,0,12,0,0,14,1,36,0,0,0,0,0
26,2009,9,NA,35.86413,12.882499,IT,Linosa,Faraglioni di Linosa,1_3,2,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,1,1,0,0,15,0,0,0,1,49,0,0,0,0,0
27,2009,9,NA,35.86413,12.882499,IT,Linosa,Faraglioni di Linosa,1_3,3,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,1,0,0,0,22,0,0,21,2,21,0,0,0,0,0
28,2009,9,NA,35.86413,12.882499,IT,Linosa,Faraglioni di Linosa,1_3,4,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,2,0,0,11,0,0,8,2,32,0,0,0,0,0
29,2009,9,NA,35.87511,12.864366,IT,Linosa,Mannarazza,1_3,2,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,1,0,0,17,0,0,15,2,33,0,0,0,0,0
30,2009,9,NA,35.87511,12.864366,IT,Linosa,Mannarazza,1_3,3,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,1,0,0,19,0,0,14,1,32,0,0,0,0,0
31,2009,9,NA,35.87511,12.864366,IT,Linosa,Mannarazza,1_3,4,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,0,0,0,10,0,0,10,1,40,0,0,0,0,0
32,2009,9,NA,35.862072,12.8529,IT,Linosa,Pozzolana,1_3,1,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,1,1,0,0,9,0,0,20,1,26,0,0,0,0,0
33,2009,9,NA,35.862072,12.8529,IT,Linosa,Pozzolana,1_3,2,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,0,0,0,7,0,0,8,1,47,0,0,0,0,0
34,2009,9,NA,35.862072,12.8529,IT,Linosa,Pozzolana,1_3,3,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,1,0,0,12,0,0,15,0,36,0,0,0,0,0
35,2009,9,NA,35.862072,12.8529,IT,Linosa,Pozzolana,1_3,4,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,3,0,0,13,0,0,10,1,29,0,0,0,0,0
36,2009,9,NA,35.862072,12.8529,IT,Linosa,Pozzolana,1_3,5,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,0,0,0,12,0,0,5,0,32,0,0,0,0,0
37,2009,9,NA,38.2699,15.2254,IT,Milazzo,SW Capo Milazzo,1_3,1,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,1,0,0,0,0,0,0,10,7,12,0,0,0,0,0
38,2009,9,NA,38.2699,15.2254,IT,Milazzo,SW Capo Milazzo,1_3,2,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,3,0,0,0,0,0,0,5,5,22,0,0,0,0,0
39,2009,9,NA,38.2699,15.2254,IT,Milazzo,SW Capo Milazzo,1_3,3,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,6,0,0,0,0,0,0,13,2,21,0,0,0,0,0
40,2009,9,NA,38.2699,15.2254,IT,Milazzo,SW Capo Milazzo,1_3,4,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,2,0,0,0,0,0,0,30,6,10,0,0,0,0,0
41,2009,9,NA,38.2679,15.2253,IT,Milazzo,W Capo Milazzo,1_3,1,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,3,0,0,0,0,0,0,8,8,26,0,0,0,0,0
42,2009,9,NA,38.2679,15.2253,IT,Milazzo,W Capo Milazzo,1_3,2,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,1,0,0,0,2,0,0,32,8,42,0,0,0,0,0
43,2009,9,NA,38.2679,15.2253,IT,Milazzo,W Capo Milazzo,1_3,3,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,0,0,0,1,0,0,13,6,33,0,0,0,0,0
44,2009,9,NA,38.2679,15.2253,IT,Milazzo,W Capo Milazzo,1_3,4,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,1,0,0,0,0,0,0,1,6,26,0,0,0,0,0
45,2009,10,NA,42.233,3.2216,ES,Cap de Creus,Coralli lor,1_3,1,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,0,0,2,0,0,0,60,0,2,0,0,0,0,0
46,2009,10,NA,42.233,3.2216,ES,Cap de Creus,Coralli lor,1_3,2,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,2,0,0,6,0,0,0,30,0,0,0,0,0,0,0
47,2009,10,NA,42.233,3.2216,ES,Cap de Creus,Coralli lor,1_3,3,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,0,0,6,0,0,0,23,1,1,0,0,0,0,0
48,2009,10,NA,42.233,3.2216,ES,Cap de Creus,Coralli lor,1_3,4,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,2,0,0,5,0,0,0,70,0,0,0,0,0,0,0
49,2009,10,NA,42.2392,3.2663,ES,Cap de Creus,Mont Joy,1_3,1,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,8,0,0,7,0,0,0,70,0,0,0,0,0,0,0
50,2009,10,NA,42.2392,3.2663,ES,Cap de Creus,Mont Joy,1_3,2,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,13,0,0,4,0,0,0,80,0,1,0,0,0,0,0
51,2009,10,NA,42.2392,3.2663,ES,Cap de Creus,Mont Joy,1_3,3,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,7,0,0,9,0,0,0,60,1,0,0,0,0,0,0
52,2009,10,NA,42.2392,3.2663,ES,Cap de Creus,Mont Joy,1_3,4,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0
53,2010,8,NA,35.86413,12.882499,IT,Linosa,Faraglioni di Linosa,1_3,1,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,2,0,0,1,4,0,0,22,2,40,0,0,0,0,0
54,2010,8,NA,35.86413,12.882499,IT,Linosa,Faraglioni di Linosa,1_3,2,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,0,0,1,3,1,0,38,2,51,0,0,0,0,0
55,2010,8,NA,35.86413,12.882499,IT,Linosa,Faraglioni di Linosa,1_3,3,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,2,0,0,0,9,0,0,23,1,51,0,0,0,0,0
56,2010,8,NA,35.86413,12.882499,IT,Linosa,Faraglioni di Linosa,1_3,4,"National Research Council, Institute of Biological Resources and Marine Biotechnologies (CNR-IRBIM)",CIESM Tropical signals,0,1,0,2,6,0,0,18,2,58,0,0,0,0,0
57,2010,10,3,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,1,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,2,0,0,0,0,0,0,4,0,1,0,0,0,0,0
58,2010,10,3,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,2,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,3,0,0,0,0,0,0,0,2,5,0,0,0,0,0
59,2010,10,3,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,3,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,12,0,0,0,0,0,0,0,0,9,0,0,0,0,0
60,2010,10,3,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,4,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,8,0,0,0,0,0,0,4,0,18,0,0,0,0,0
61,2010,10,3,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,5,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0
62,2010,10,3,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,6,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,5,0,0,0,0,0,0,0,2,1,0,0,0,0,0
63,2010,10,3,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,7,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0
64,2010,10,3,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,8,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,5,0,0,0,0,0,0,0,3,1,0,0,0,0,0
65,2010,10,2,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,1,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,2,0,0,0,0,0,0,4,0,4,0,0,0,0,0
66,2010,10,2,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,2,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,2,0,0,0,0,0,0,3,2,4,0,0,0,0,0
67,2010,10,2,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,3,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0
68,2010,10,2,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,4,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,7,0,0,0,0,0,0,0,0,10,0,0,0,0,0
69,2010,10,2,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,5,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,8,0,0,0,0,0,0,26,2,2,0,0,0,0,0
70,2010,10,2,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,6,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,6,0,0,0,0,0,0,20,3,3,0,0,0,0,0
71,2010,10,2,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,7,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0
72,2010,10,2,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,8,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,10,0,0,0,0,0,0,0,1,16,0,0,0,0,0
73,2010,10,3,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,1,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,8,0,0,0,0,0,0,0,1,7,0,0,0,0,0
74,2010,10,3,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,2,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,10,0,0,0,0,0,0,0,2,24,0,0,0,0,0
75,2010,10,3,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,3,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,8,0,0,0,0,0,0,1,1,20,0,0,0,0,0
76,2010,10,3,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,4,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,4,0,0,0,0,0,0,8,0,11,0,0,0,0,0
77,2010,10,3,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,5,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,12,0,0,0,0,0,0,0,1,6,0,0,0,0,0
78,2010,10,3,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,6,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,6,0,0,0,0,0,0,0,2,16,0,0,0,0,0
79,2010,10,3,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,7,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,22,0,0,0,0,0,0,0,2,9,0,0,0,0,0
80,2010,10,3,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,8,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,21,0,0,0,0,0,0,0,1,8,0,0,0,0,0
81,2011,8,20,43.482667,16.321056,HR,Split,Ciovo Jug,1_3,1,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,45,0,0,1,0,0,0,55,4,0,0,0,0,0,0
82,2011,8,29,43.482667,16.321056,HR,Split,Ciovo Jug,1_3,1,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,28,0,0,1,0,0,0,55,4,0,0,0,0,0,0
83,2011,8,20,43.482667,16.321056,HR,Split,Ciovo Jug,1_3,2,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,37,0,0,0,0,0,0,55,5,0,0,0,0,0,0
84,2011,8,29,43.482667,16.321056,HR,Split,Ciovo Jug,1_3,2,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,46,0,0,0,0,0,0,45,3,0,0,0,0,0,0
85,2011,8,20,43.482667,16.321056,HR,Split,Ciovo Jug,1_3,3,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,48,0,0,2,0,0,0,37,4,0,0,0,0,0,0
86,2011,8,29,43.482667,16.321056,HR,Split,Ciovo Jug,1_3,3,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,39,0,0,1,0,0,0,65,4,0,0,0,0,0,0
87,2011,8,20,43.482667,16.321056,HR,Split,Ciovo Jug,1_3,4,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,23,0,0,1,0,0,0,28,3,0,0,0,0,0,0
88,2011,8,29,43.482667,16.321056,HR,Split,Ciovo Jug,1_3,4,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,33,0,0,2,0,0,0,55,4,0,0,0,0,0,0
89,2011,8,20,43.489667,16.385611,HR,Split,Ciovo Punta,1_3,1,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,18,0,0,0,0,0,0,65,3,0,0,0,0,0,0
90,2011,8,29,43.489667,16.385611,HR,Split,Ciovo Punta,1_3,1,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,27,0,0,0,0,0,0,65,2,0,0,0,0,0,0
91,2011,8,20,43.489667,16.385611,HR,Split,Ciovo Punta,1_3,2,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,22,0,0,0,0,0,0,75,4,0,0,0,0,0,0
92,2011,8,29,43.489667,16.385611,HR,Split,Ciovo Punta,1_3,2,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,16,0,0,0,0,0,0,85,5,0,0,0,0,0,0
93,2011,8,20,43.489667,16.385611,HR,Split,Ciovo Punta,1_3,3,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,28,0,0,0,0,0,0,55,4,0,0,0,0,0,0
94,2011,8,29,43.489667,16.385611,HR,Split,Ciovo Punta,1_3,3,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,15,0,0,1,0,0,0,43,2,0,0,0,0,0,0
95,2011,8,20,43.489667,16.385611,HR,Split,Ciovo Punta,1_3,4,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,19,0,0,0,0,0,0,42,3,0,0,0,0,0,0
96,2011,8,29,43.489667,16.385611,HR,Split,Ciovo Punta,1_3,4,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,21,0,0,0,0,0,0,65,3,0,0,0,0,0,0
97,2011,8,20,43.507528,16.389361,HR,Split,Marjan,1_3,1,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,9,0,0,0,0,0,0,65,4,0,0,0,0,0,0
98,2011,8,29,43.507528,16.389361,HR,Split,Marjan,1_3,1,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,8,0,0,1,0,0,0,55,3,0,0,0,0,0,0
99,2011,8,20,43.507528,16.389361,HR,Split,Marjan,1_3,2,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,14,0,0,0,0,0,0,45,2,0,0,0,0,0,0
100,2011,8,29,43.507528,16.389361,HR,Split,Marjan,1_3,2,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,10,0,0,0,0,0,0,65,3,0,0,0,0,0,0
101,2011,8,20,43.507528,16.389361,HR,Split,Marjan,1_3,3,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,9,0,0,0,0,0,0,55,4,0,0,0,0,0,0
102,2011,8,29,43.507528,16.389361,HR,Split,Marjan,1_3,3,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,11,0,0,0,0,0,0,48,4,0,0,0,0,0,0
103,2011,8,20,43.507528,16.389361,HR,Split,Marjan,1_3,4,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,11,0,0,0,0,0,0,55,3,0,0,0,0,0,0
104,2011,8,29,43.507528,16.389361,HR,Split,Marjan,1_3,4,"Institute of Oceanography and Fisheries, Split, Croatia",CIESM Tropical signals,7,0,0,0,0,0,0,25,2,0,0,0,0,0,0
105,2011,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,1,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,3,0,0,0,0,0,0,6,0,1,0,0,0,0,0
106,2011,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,2,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0
107,2011,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,3,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,6,1,0,0,0,0,0,0,3,1,0,0,0,0,0
108,2011,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,4,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,2,1,0,0,0,0,0,0,6,5,0,0,0,0,0
109,2011,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,5,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,7,0,0,0,0,0,0,10,3,1,0,0,0,0,0
110,2011,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,6,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,10,0,0,0,0,0,0,12,1,2,0,0,0,0,0
111,2011,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,7,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0
112,2011,9,17,41.67093,9.38553,FR,SE Corsica,Capu di Fora,1_3,8,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0
113,2011,9,16,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,1,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0
114,2011,9,16,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,2,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,2,0,0,0,0,0,0,1,2,10,0,0,0,0,0
115,2011,9,16,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,3,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,4,0,0,0,0,0,0,2,3,5,0,0,0,0,0
116,2011,9,16,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,4,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,6,0,0,0,0,0,0,0,3,10,0,0,0,0,0
117,2011,9,16,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,5,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,2,0,0,0,0,0,0,6,1,8,0,0,0,0,0
118,2011,9,16,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,6,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0
119,2011,9,16,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,7,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,1,0,0,0,0,0,0,0,2,4,0,0,0,0,0
120,2011,9,16,41.6894,9.392622,FR,SE Corsica,La Vardiola,1_3,8,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,3,0,0,0,0,0,0,0,6,13,0,0,0,0,0
121,2011,9,16,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,1,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,3,0,0,0,0,0,0,0,1,10,0,0,0,0,0
122,2011,9,16,41.640919,9.372925,FR,SE Corsica,Punta Arasu,1_3,2,"Mediterranean Science Commission, CIESM, Monaco",CIESM Tropical signals,9,0,0,0,0,0,0,0,0,7,0,0,0,0,0
